Date,Open,High,Low,Close,Adj Close,Volume
2/1/2005,634.159973,651.359985,633.97998,646.929993,646.929993,45752800
3/1/2005,647.289978,660.630005,626.48999,635.780029,635.780029,48706600
4/1/2005,636.159973,641.73999,612.690002,623.320007,623.320007,52946900
5/1/2005,623.460022,648.049988,618.570007,644.280029,644.280029,40614300
6/1/2005,644.099976,660.039978,643.22998,645.919983,645.919983,3443500
7/1/2005,646.130005,675.669983,642.48999,670.26001,670.26001,2585100
8/1/2005,670.609985,676.669983,652.130005,663.130005,663.130005,0
9/1/2005,663.080017,675.309998,654.429993,668.530029,668.530029,0
10/1/2005,668.570007,671.210022,633.880005,656.090027,656.090027,0
11/1/2005,655.409973,690.76001,653.080017,679.349976,679.349976,0
12/1/2005,680.090027,693.719971,678.469971,679.419983,679.419983,0
1/1/2006,679.960022,705.049988,677.51001,697.789978,697.789978,0
2/1/2006,697.070007,706.960022,683.359985,697.830017,697.830017,0
3/1/2006,698.200012,714.219971,690.330017,706.75,706.75,0
4/1/2006,707.23999,719.030029,698.52002,714.369995,714.369995,0
5/1/2006,714.640015,723.25,677.25,691.780029,691.780029,0
6/1/2006,691.950012,703.409973,663.179993,691.809998,691.809998,0
7/1/2006,692.429993,697.190002,664.77002,692.590027,692.590027,0
8/1/2006,692.359985,708.719971,680.700012,707.549988,707.549988,0
9/1/2006,708.119995,726.109985,699.679993,723.47998,723.47998,0
10/1/2006,723.359985,753.460022,718.530029,747.299988,747.299988,0
11/1/2006,747.400024,765.02002,737.77002,761.440002,761.440002,0
12/1/2006,761.429993,777.809998,753.640015,770.080017,770.080017,0
1/1/2007,770.52002,785.869995,763.030029,784.109985,784.109985,0
2/1/2007,784.409973,798.859985,759.909973,768.659973,768.659973,0
3/1/2007,766.650024,785.900024,744.549988,775.969971,775.969971,0
4/1/2007,775.98999,817,773.679993,807.820007,807.820007,0
5/1/2007,808.25,837.669983,804.400024,835.140015,835.140015,0
6/1/2007,835.700012,840.590027,807.130005,818.179993,818.179993,0
7/1/2007,819.099976,847.440002,791.109985,792.109985,792.109985,0
8/1/2007,791.690002,817.059998,742.840027,802.820007,802.820007,0
9/1/2007,801.309998,836.090027,782.48999,830.590027,830.590027,0
10/1/2007,830.710022,858.640015,812,844.200012,844.200012,0
11/1/2007,842.929993,842.929993,765.900024,806.440002,806.440002,0
12/1/2007,805.940002,830.309998,781.419983,799.820007,799.820007,0
1/1/2008,799.72998,803.25,690.219971,750.969971,750.969971,0
2/1/2008,751.090027,761.289978,718.090027,726.419983,726.419983,0
3/1/2008,725.090027,739.400024,684.140015,720.320007,720.320007,0
4/1/2008,720.320007,766.169983,720.289978,756.030029,756.030029,0
5/1/2008,755.900024,788.340027,752.280029,768.280029,768.280029,0
6/1/2008,768.25,771.429993,699.26001,703.219971,703.219971,0
7/1/2008,703.090027,709.119995,657.669983,694.070007,694.070007,0
8/1/2008,694.070007,716.789978,681.809998,702.169983,702.169983,0
9/1/2008,702.140015,712.549988,602.340027,633.320007,633.320007,0
10/1/2008,634.01001,634.030029,453.679993,522.469971,522.469971,0
11/1/2008,522.469971,542.640015,396.209991,481.429993,481.429993,0
12/1/2008,481.399994,495.179993,437.540009,487.769989,487.769989,0
1/1/2009,487.769989,510.600006,435.850006,447.320007,447.320007,0
2/1/2009,445.670013,474.690002,398.76001,399.609985,399.609985,0
3/1/2009,399.609985,453.040009,362.25,433.670013,433.670013,0
4/1/2009,433.600006,485.690002,425.589996,476.839996,476.839996,0
5/1/2009,476.829987,507.720001,473.079987,501.950012,501.950012,0
6/1/2009,501.929993,522.5,484.51001,502.269989,502.269989,0
7/1/2009,502.209991,544.909973,474.100006,539.880005,539.880005,0
8/1/2009,539.880005,567.570007,535.409973,558.210022,558.210022,0
